part,prov,first_ship,last_ship,partprov
102158,NT,2023-12-18,2025-01-20,102158NT
102158,ON,2023-09-18,2024-07-08,102158ON
102158,SK,2023-10-23,2025-06-16,102158SK
102158,YT,2023-11-20,2024-03-25,102158YT
102159,AB,2023-08-28,2024-06-10,102159AB
102159,BC,2024-01-08,2024-05-06,102159BC
102159,MB,2023-10-09,2024-12-30,102159MB
102159,NL,2024-01-22,2024-06-10,102159NL
102159,NT,2023-12-18,2025-01-20,102159NT
102159,ON,2023-08-21,2024-06-10,102159ON
102159,SK,2023-10-30,2025-01-06,102159SK
102159,YT,2023-11-20,2024-03-25,102159YT
102160,AB,2023-09-18,2025-06-16,102160AB
102160,BC,2023-09-18,2025-02-10,102160BC
102160,MB,2023-10-09,2025-06-16,102160MB
102160,NT,2023-12-18,2025-05-26,102160NT
102160,ON,2023-08-21,2025-06-16,102160ON
102160,PE,2025-04-07,2025-04-07,102160PE
102160,SK,2023-10-02,2025-06-16,102160SK
102160,YT,2023-11-20,2025-02-10,102160YT
102161,AB,2023-08-28,2024-07-08,102161AB
102161,BC,2023-09-04,2024-01-15,102161BC
102161,MB,2023-10-09,2025-01-13,102161MB
102161,NT,2023-12-18,2025-01-20,102161NT
102161,ON,2023-08-21,2024-07-08,102161ON
102161,SK,2023-10-23,2025-01-06,102161SK
102161,YT,2023-11-20,2024-01-22,102161YT
102162,AB,2023-08-28,2024-03-18,102162AB
102162,MB,2023-10-09,2025-01-13,102162MB
102162,NT,2023-12-18,2025-02-03,102162NT
102162,ON,2023-08-21,2024-07-08,102162ON
102162,SK,2023-11-06,2025-01-06,102162SK
102162,YT,2023-11-20,2024-03-25,102162YT
102163,AB,2023-08-28,2024-04-22,102163AB
102163,BC,2023-09-04,2025-04-14,102163BC
102163,MB,2023-10-09,2024-12-30,102163MB
102163,NT,2023-12-18,2025-02-17,102163NT
102163,ON,2023-08-21,2025-05-19,102163ON
102163,SK,2023-10-09,2025-02-10,102163SK
102163,YT,2023-12-11,2025-04-28,102163YT
102164,AB,2023-09-18,2025-06-16,102164AB
102164,BC,2023-10-09,2023-10-09,102164BC
102164,MB,2023-10-09,2024-12-30,102164MB
102164,NT,2023-12-18,2025-05-26,102164NT
102164,ON,2023-08-21,2025-06-16,102164ON
